,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
0,2,0,1,-1,0,6,1
1,0,1,3,-1,2,7,0
2,0,2,3,-1,2,10,0
3,0,0,1,-1,0,0,1
4,3,2,3,-3,0,9,1
5,1,1,1,-1,0,4,1
6,0,0,1,-1,0,0,1
7,2,2,1,-1,0,10,0
8,1,5,1,-1,0,8,1
9,0,0,1,-1,0,2,1
10,3,1,1,-1,0,5,1
11,0,0,1,-1,0,6,0
12,0,2,1,-2,-1,9,1
13,1,0,2,-1,1,10,1
14,1,0,1,-1,0,2,1
15,0,1,1,-1,0,6,1
16,0,2,1,-1,0,7,1
17,0,3,1,-3,-2,4,0
18,0,0,1,-1,0,0,1
19,0,0,1,-2,-1,2,1
20,0,1,4,-1,3,2,1
21,0,4,1,-1,0,8,1
22,2,2,1,-1,0,11,0
23,1,5,1,-3,-2,7,1
24,2,2,1,-1,0,7,1
25,1,3,1,-1,0,7,1
26,0,0,1,-1,0,1,1
27,1,3,1,-1,0,14,1
28,0,0,1,-1,0,15,1
29,1,0,1,-1,0,1,1
30,0,1,1,-1,0,10,0
31,0,0,1,-1,0,11,1
32,2,0,1,-1,0,0,1
33,0,2,1,-2,-1,7,0
34,0,4,2,-1,1,9,0
35,0,0,1,-1,0,3,1
36,0,1,3,-1,2,9,0
37,1,1,1,-1,0,13,1
38,2,2,2,-1,1,9,1
39,3,3,2,-1,1,6,1
40,0,3,1,-2,-1,8,1
41,0,5,1,-1,0,10,0
42,0,2,1,-1,0,5,1
43,2,3,1,-1,0,7,0
44,1,0,1,-1,0,1,1
45,0,1,2,-2,0,9,0
46,0,3,2,-1,1,4,1
47,0,1,1,-1,0,13,1
48,0,4,1,-3,-2,9,0
49,1,0,1,-1,0,6,1
50,0,0,1,-1,0,1,1
51,2,1,2,-1,1,9,1
52,0,2,2,-1,1,7,1
53,0,3,1,-3,-2,8,1
54,1,1,1,-1,0,5,1
55,0,1,1,-1,0,2,1
56,0,0,2,-1,1,4,1
57,1,4,1,-1,0,9,1
58,0,2,2,-3,-1,10,0
59,0,1,3,-1,2,2,1
60,0,0,1,-1,0,4,1
61,1,0,2,-1,1,2,1
62,0,2,2,-1,1,7,1
63,0,1,1,-1,0,9,1
64,0,3,1,-1,0,10,1
65,2,1,1,-1,0,3,1
66,2,1,2,-4,-2,14,1
67,0,0,2,-1,1,7,1
68,0,1,1,-2,-1,5,1
69,1,0,2,-1,1,1,1
70,0,1,2,-3,-1,6,1
71,0,2,2,-1,1,8,0
72,0,0,3,-1,2,4,1
73,2,0,1,-1,0,6,1
74,2,1,1,-1,0,6,1
75,0,5,2,-3,-1,9,1
76,1,2,1,-1,0,8,1
77,0,1,1,-1,0,3,0
78,0,5,1,-1,0,15,0
79,0,1,1,-1,0,3,1
80,1,2,1,-1,0,10,1
81,0,2,1,-1,0,3,1
82,0,0,1,-1,0,2,0
83,0,2,2,-1,1,8,1
84,0,0,1,-1,0,0,1
85,0,1,1,-3,-2,4,1
86,0,0,1,-1,0,6,0
87,0,1,2,-1,1,5,0
88,0,1,2,-1,1,8,0
89,0,3,1,-1,0,9,1
90,0,3,2,-2,0,9,0
91,0,0,1,-2,-1,1,1
92,1,0,1,-1,0,2,1
93,0,0,1,-1,0,6,1
94,0,2,1,-1,0,0,1
95,0,1,1,-1,0,4,0
96,1,0,1,-1,0,1,1
97,0,1,1,-1,0,3,0
98,1,2,1,-1,0,5,0
99,0,4,3,-1,2,8,0
100,0,1,1,-1,0,1,1
101,0,1,1,-1,0,5,1
102,0,3,1,-1,0,7,1
103,2,2,3,-1,2,10,0
104,0,2,1,-1,0,11,1
105,0,0,1,-1,0,9,0
106,1,2,2,-1,1,13,1
107,0,1,1,-4,-3,12,1
108,1,0,1,-1,0,1,1
109,3,2,3,-1,2,9,1
110,0,1,1,-1,0,3,1
111,0,2,3,-1,2,9,0
112,1,1,1,-1,0,3,1
113,0,0,1,-1,0,1,1
114,1,2,1,-1,0,6,1
115,0,4,1,-2,-1,8,1
116,2,2,1,-1,0,5,1
117,0,1,1,-1,0,5,0
118,0,0,2,-1,1,11,1
119,1,1,1,-3,-2,7,0
120,0,2,2,-1,1,6,1
121,0,1,1,-1,0,2,1
122,0,1,1,-1,0,5,1
123,0,1,1,-1,0,2,1
124,0,0,2,-1,1,8,0
125,0,2,1,-2,-1,11,0
126,0,2,3,-1,2,9,1
127,2,0,1,-1,0,6,1
128,0,0,1,-1,0,1,1
129,0,4,2,-1,1,7,1
130,0,3,2,-1,1,9,1
131,2,2,1,-1,0,9,1
132,0,1,3,-1,2,12,1
133,0,1,3,-1,2,4,0
134,1,2,2,-1,1,12,0
135,0,1,1,-1,0,3,1
136,0,0,3,-2,1,8,0
137,2,1,2,-1,1,4,1
138,0,2,1,-1,0,8,1
139,2,0,1,-1,0,0,1
140,0,0,2,-1,1,5,0
141,2,1,3,-1,2,8,0
142,0,2,1,-1,0,4,1
143,0,1,1,-3,-2,2,1
144,3,0,2,-2,0,5,1
145,0,1,2,-1,1,4,0
146,1,0,2,-2,0,9,1
147,0,0,1,-1,0,0,1
148,0,4,2,-2,0,14,1
