,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
0,3,0,1,-1,0,11,1
1,1,1,2,-1,1,8,0
2,0,2,1,-1,0,11,1
3,0,1,1,-2,-1,8,0
4,0,1,2,-1,1,1,0
5,0,0,1,-1,0,2,0
6,0,0,1,-1,0,2,1
7,1,0,1,-1,0,2,0
8,0,1,2,-1,1,2,0
9,3,1,1,-2,-1,7,0
10,1,0,1,-1,0,2,0
11,1,0,1,-1,0,8,0
12,0,2,1,-1,0,12,1
13,0,2,1,-1,0,9,0
14,0,1,1,-1,0,1,0
15,1,0,3,-1,2,6,0
16,1,1,1,-1,0,4,0
17,1,1,1,-3,-2,9,0
18,2,2,2,-1,1,5,0
19,1,0,1,-1,0,6,1
20,0,3,1,-1,0,3,0
21,2,2,1,-1,0,12,0
22,0,1,1,-1,0,3,0
23,0,1,3,-1,2,12,0
24,0,0,1,-1,0,9,0
25,0,3,1,-2,-1,9,0
26,1,0,2,-1,1,5,0
27,0,1,2,-1,1,3,1
28,0,0,1,-1,0,2,0
29,0,3,2,-1,1,7,1
30,3,2,1,-1,0,9,0
31,0,4,2,-2,0,11,0
32,0,1,2,-1,1,6,0
33,0,1,2,-1,1,2,0
34,0,0,1,-1,0,5,0
35,1,1,1,-1,0,5,0
36,1,4,2,-2,0,11,1
37,0,0,1,-1,0,2,0
38,0,1,1,-4,-3,9,0
39,0,2,2,-1,1,7,1
40,1,4,1,-1,0,7,0
41,0,2,2,-3,-1,13,0
42,0,1,1,-1,0,8,0
43,0,3,2,-1,1,11,0
44,1,1,3,-1,2,2,0
45,0,0,1,-1,0,1,0
46,0,2,1,-1,0,5,0
47,0,0,2,-1,1,6,0
48,0,2,3,-1,2,10,1
49,0,0,1,-1,0,4,1
50,1,3,1,-1,0,3,0
51,1,3,1,-1,0,4,0
52,2,1,1,-1,0,7,0
53,0,0,1,-1,0,0,0
54,0,5,2,-1,1,13,0
55,0,2,2,-1,1,3,0
56,0,0,1,-1,0,4,0
57,1,1,1,-1,0,7,0
58,1,3,1,-1,0,9,1
59,0,0,2,-1,1,1,0
60,2,1,1,-1,0,6,0
61,1,0,1,-1,0,7,0
62,1,3,1,-4,-3,13,0
63,0,1,2,-1,1,14,1
64,0,2,1,-3,-2,3,1
65,0,3,2,-1,1,11,1
66,2,2,2,-1,1,7,0
67,0,0,3,-1,2,11,0
68,0,1,1,-1,0,6,0
69,0,1,1,-1,0,3,1
70,0,0,4,-1,3,3,0
71,1,2,3,-1,2,5,0
72,2,3,1,-1,0,12,0
73,0,1,1,-1,0,1,0
74,3,1,1,-4,-3,8,0
75,2,0,1,-1,0,6,0
76,2,0,1,-1,0,10,0
77,0,3,1,-1,0,7,0
78,1,2,1,-1,0,4,0
79,0,3,1,-2,-1,10,0
80,0,0,1,-1,0,6,0
81,3,0,1,-1,0,10,1
82,0,2,1,-1,0,3,0
83,0,1,1,-1,0,5,0
84,0,0,2,-1,1,8,1
85,0,2,1,-1,0,7,1
86,0,2,2,-1,1,14,0
87,0,1,2,-1,1,12,0
88,1,0,3,-1,2,11,1
89,1,3,3,-3,0,14,0
90,0,2,1,-1,0,4,1
91,2,0,1,-1,0,6,0
92,0,0,2,-3,-1,7,0
93,2,3,2,-1,1,12,0
94,0,0,1,-2,-1,7,0
95,1,1,1,-1,0,2,0
96,0,4,2,-1,1,11,0
97,1,0,1,-1,0,10,0
98,0,1,1,-1,0,4,0
99,0,4,1,-1,0,10,0
100,0,0,1,-1,0,1,0
101,1,2,2,-4,-2,8,1
