,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
0,3,0,1,-1,0,11,0
1,1,1,2,-1,1,8,1
2,0,2,1,-1,0,11,0
3,0,1,1,-2,-1,8,1
4,0,1,2,-1,1,1,1
5,0,0,1,-1,0,2,1
6,0,0,1,-1,0,2,0
7,1,0,1,-1,0,2,1
8,0,1,2,-1,1,2,1
9,3,1,1,-2,-1,7,1
10,1,0,1,-1,0,2,1
11,1,0,1,-1,0,8,1
12,0,2,1,-1,0,12,0
13,0,2,1,-1,0,9,1
14,0,1,1,-1,0,1,1
15,1,0,3,-1,2,6,1
16,1,1,1,-1,0,4,1
17,1,1,1,-3,-2,9,1
18,2,2,2,-1,1,5,1
19,1,0,1,-1,0,6,0
20,0,3,1,-1,0,3,1
21,2,2,1,-1,0,12,1
22,0,1,1,-1,0,3,1
23,0,1,3,-1,2,12,1
24,0,0,1,-1,0,9,1
25,0,3,1,-2,-1,9,1
26,1,0,2,-1,1,5,1
27,0,1,2,-1,1,3,0
28,0,0,1,-1,0,2,1
29,0,3,2,-1,1,7,0
30,3,2,1,-1,0,9,1
31,0,4,2,-2,0,11,1
32,0,1,2,-1,1,6,1
33,0,1,2,-1,1,2,1
34,0,0,1,-1,0,5,1
35,1,1,1,-1,0,5,1
36,1,4,2,-2,0,11,0
37,0,0,1,-1,0,2,1
38,0,1,1,-4,-3,9,1
39,0,2,2,-1,1,7,0
40,1,4,1,-1,0,7,1
41,0,2,2,-3,-1,13,1
42,0,1,1,-1,0,8,1
43,0,3,2,-1,1,11,1
44,1,1,3,-1,2,2,1
45,0,0,1,-1,0,1,1
46,0,2,1,-1,0,5,1
47,0,0,2,-1,1,6,1
48,0,2,3,-1,2,10,0
49,0,0,1,-1,0,4,0
50,1,3,1,-1,0,3,1
51,1,3,1,-1,0,4,1
52,2,1,1,-1,0,7,1
53,0,0,1,-1,0,0,1
54,0,5,2,-1,1,13,1
55,0,2,2,-1,1,3,1
