,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
0,1,1,2,-1,1,7,0
1,1,3,2,-1,1,8,0
2,1,1,2,-1,1,5,0
3,0,2,3,-1,2,10,0
4,2,0,1,-1,0,1,0
5,0,1,2,-1,1,6,0
6,0,1,2,-1,1,5,0
7,0,3,1,-1,0,5,1
8,2,0,2,-1,1,3,0
9,0,0,1,-1,0,7,0
10,0,2,1,-1,0,5,0
11,0,0,2,-3,-1,6,0
12,3,1,3,-2,1,11,1
13,0,2,2,-1,1,18,0
14,0,1,1,-1,0,9,1
15,1,2,2,-1,1,9,1
16,1,1,1,-1,0,8,0
17,0,1,1,-1,0,8,0
18,1,4,1,-1,0,8,0
19,0,1,1,-1,0,3,0
20,0,0,3,-1,2,6,1
21,0,1,1,-1,0,7,0
22,0,3,1,-1,0,7,1
23,1,2,1,-1,0,10,0
24,0,2,1,-1,0,2,0
25,1,1,1,-1,0,10,1
26,1,0,2,-2,0,5,1
27,0,3,1,-3,-2,7,0
28,0,1,1,-1,0,16,1
29,0,1,1,-1,0,2,0
30,0,0,2,-1,1,1,0
31,0,0,1,-1,0,3,1
32,0,0,1,-1,0,1,0
33,0,0,1,-1,0,1,0
34,0,5,1,-1,0,10,0
35,0,1,1,-1,0,3,1
36,1,1,1,-1,0,10,0
37,2,1,1,-4,-3,9,0
38,0,2,2,-1,1,5,1
39,2,0,1,-1,0,10,0
40,0,5,1,-1,0,7,0
41,2,1,1,-2,-1,7,1
42,2,2,4,-4,0,7,0
43,0,0,1,-1,0,7,0
44,1,1,1,-1,0,3,1
45,0,3,1,-2,-1,11,0
46,0,1,1,-1,0,2,0
47,0,1,2,-1,1,4,1
48,2,2,1,-1,0,8,1
49,0,0,2,-1,1,1,0
50,0,3,4,-1,3,11,0
51,2,2,2,-1,1,10,0
52,0,0,3,-1,2,11,1
53,0,0,2,-1,1,1,0
54,0,2,2,-3,-1,13,1
55,0,0,1,-1,0,4,0
